epoch,train_loss,test_loss
1,2.254710751259381e-07,3.809457815862061e-08
2,2.5880515970300166e-08,1.8560235837128403e-08
3,3.810046282640893e-09,1.135116557227176e-13
4,1.1200518431567913e-13,1.1239372402064608e-13
5,1.1269500489860442e-13,1.1168948930865078e-13
6,1.0990570832711179e-13,1.1099211895166001e-13
7,1.092462615325234e-13,1.1029966477389512e-13
8,1.0913478779538133e-13,1.0961035410480407e-13
9,1.0766742972710425e-13,1.0893141721762465e-13
10,1.0666652863712198e-13,1.0825751577191005e-13
11,1.0641774252442577e-13,1.0758729858070283e-13
12,1.05073122105186e-13,1.069272403638518e-13
13,1.0436407611052502e-13,1.0627224062776177e-13
14,1.0499923108438833e-13,1.0561738183795417e-13
15,1.0467706915021427e-13,1.049682042675304e-13
16,1.0264064683634162e-13,1.043287682536264e-13
17,1.0400785233879907e-13,1.0368993193904906e-13
18,1.0089049502792509e-13,1.030659905294426e-13
19,1.0003176374251757e-13,1.0245123298986345e-13
20,9.881387151393622e-14,1.0184991481383861e-13
21,1.0048588643032235e-13,1.0124229742319163e-13
22,1.010138678839102e-13,1.0063110826401267e-13
23,1.000228024727488e-13,1.0002915718496964e-13
24,9.759032984664723e-14,9.944214708948982e-14
25,9.626035469482811e-14,9.886618772465307e-14
26,9.931445863451978e-14,9.827807580871546e-14
27,9.723478038090992e-14,9.770296212157325e-14
28,9.684960366779412e-14,9.713104683083985e-14
29,9.652367704486401e-14,9.656693779574836e-14
30,9.445192329269551e-14,9.60142894552464e-14
31,9.549144630680451e-14,9.546189725750769e-14
32,9.264456586057738e-14,9.492756041407265e-14
33,9.218400761972726e-14,9.439489459723594e-14
34,9.335868009381892e-14,9.386158639061206e-14
35,9.345988819821609e-14,9.332885145588686e-14
36,9.280215884763157e-14,9.280565207926868e-14
37,9.121408577723259e-14,9.229059980435036e-14
38,9.213197513116643e-14,9.177387311470192e-14
39,9.021360928792612e-14,9.126869588869587e-14
40,8.946726158857131e-14,9.077029492626786e-14
