epoch,train_loss,test_loss
1,9.343924867266651e-07,1.7308178001940178e-07
2,1.2915237036281723e-07,1.0433678951926594e-07
3,8.186630793716177e-08,6.886516317194946e-08
4,6.476765232577009e-08,6.052938381628791e-08
5,5.8146714572160366e-08,5.207852886712771e-08
6,5.53469964970077e-08,5.524402517664839e-08
7,5.519055942926343e-08,5.1196205674841624e-08
8,5.2412893190023626e-08,4.986125894390625e-08
9,5.210172535186075e-08,5.504006992396171e-08
10,5.395595049861868e-08,4.8602287705534766e-08
11,5.397492781611391e-08,6.34746015748533e-08
12,5.3631953385036013e-08,5.4916669967042254e-08
13,5.425048922091946e-08,4.957238743941161e-08
14,5.399880354417519e-08,5.3173688385754756e-08
15,5.222852095698727e-08,4.5956512195743923e-08
16,5.709071615456196e-08,5.6965405192954675e-08
17,5.4004291172304873e-08,5.635884150478887e-08
18,5.553514434097906e-08,6.350213226369305e-08
19,5.32565727340284e-08,5.040409938317225e-08
20,5.4023129187896754e-08,5.5427438283572884e-08
21,5.450755956815101e-08,4.666698032451677e-08
22,5.443539649263585e-08,5.578657180649316e-08
23,5.4369567870082845e-08,5.214013931720274e-08
24,5.4004390754869294e-08,5.9105301275508284e-08
25,5.354834229365224e-08,5.449168725135678e-08
26,5.383454553253841e-08,5.32762090443839e-08
27,2.359168766119524e-08,1.9011625695952718e-08
28,1.9681421825623602e-08,1.8945129909297975e-08
29,1.854166240988775e-08,1.6656973755857506e-08
30,1.8657684091039074e-08,2.0946705703295265e-08
31,1.8754216171146253e-08,1.9729498212939233e-08
32,1.8795971197249627e-08,1.7893016313053066e-08
33,1.8794437668390175e-08,2.0311119364180284e-08
34,1.987849476137171e-08,2.1675085370986837e-08
35,1.911690835854074e-08,1.7104771110609817e-08
36,1.91360611800917e-08,2.0298139524754787e-08
37,1.8525592846430074e-08,1.71846012975152e-08
38,1.8542951565336808e-08,2.2796245602307864e-08
39,1.9046122901045237e-08,1.7079280745235793e-08
40,1.9489808327222135e-08,1.70322890014063e-08
41,9.112293084534429e-09,8.094650993939468e-09
42,7.641873325248127e-09,6.950318365284147e-09
43,7.412542153417689e-09,7.350443231857184e-09
44,7.27590315108273e-09,7.361195075716864e-09
45,7.381507525217046e-09,6.487921444531253e-09
46,7.3077236217855554e-09,7.721799910598293e-09
47,7.286264547268218e-09,7.2618625335252315e-09
48,7.1522812339352985e-09,7.03454476891352e-09
49,7.274847195759549e-09,7.270900592715179e-09
50,6.967833301452231e-09,7.0862773426938475e-09
51,7.464527715939085e-09,7.128242396348128e-09
52,7.54318465467918e-09,7.463245355054937e-09
53,7.634517209531566e-09,6.88097294698764e-09
54,7.30036210150331e-09,8.024368547410177e-09
55,7.590948927216345e-09,6.556954490477551e-09
56,7.277675559969055e-09,7.489477216182649e-09
57,3.874746106191651e-09,3.977755191897359e-09
58,3.7982575595840725e-09,3.8982677974530585e-09
59,3.4489357747524705e-09,3.313932173121259e-09
60,3.1959008706117233e-09,3.2113054659888007e-09
61,3.3672780230809e-09,3.4074451038534903e-09
62,3.390059990504568e-09,3.412468685404235e-09
63,3.4397577408640245e-09,3.49380659958598e-09
64,3.439454792086849e-09,3.4010032345932474e-09
65,3.4256308034663617e-09,3.5638832329709656e-09
66,3.3147623978990735e-09,3.1956892687645677e-09
67,3.3950347377853517e-09,3.331263354056091e-09
68,3.1613067785762892e-09,3.0828318342557283e-09
69,3.241163697431659e-09,3.2327072130300394e-09
70,3.3738503613101046e-09,3.402147252806742e-09
71,3.5529878217310797e-09,3.5559462041589995e-09
72,3.4209734245393976e-09,3.37188030830049e-09
73,3.455153938514144e-09,3.753830091213217e-09
74,3.5290244193575405e-09,3.7245038830846512e-09
75,3.4778881308206165e-09,3.303051743230867e-09
76,3.3401686350131855e-09,3.3245498798351036e-09
77,3.3267182431018225e-09,3.279917137888333e-09
78,3.4864267606238286e-09,3.644063828467381e-09
79,3.2444796560504583e-09,3.3591618153749892e-09
80,2.277025791252996e-09,1.7735738766511134e-09
81,1.7912066707648223e-09,1.643432201436923e-09
82,1.5286958299220998e-09,1.472262733948071e-09
83,1.487138957534384e-09,1.2756632750132725e-09
84,1.3500031126323363e-09,1.4242183987711599e-09
85,1.405701225420941e-09,1.547920902567057e-09
86,1.458436811319075e-09,1.4991859087487568e-09
87,1.4886229093846737e-09,1.4376003831806372e-09
88,1.5597440883308166e-09,1.5700130084894681e-09
89,1.5912973505560757e-09,1.4565441408542768e-09
90,1.5668648256639272e-09,1.6074134467913836e-09
91,1.5074534620573842e-09,1.5466077418757606e-09
92,1.5467238245747694e-09,1.709310726294433e-09
93,1.5983656498352872e-09,1.5553429766335114e-09
94,1.5352130933177222e-09,1.4799188541303465e-09
95,1.080748668891296e-09,8.441565224615033e-10
96,8.279168367542056e-10,7.501301857448794e-10
97,8.035636944736523e-10,7.851990557750099e-10
98,7.593951850681791e-10,6.794871498794209e-10
99,6.857607470767136e-10,6.864723123278793e-10
100,6.190136109252009e-10,6.063167856673601e-10
101,5.565760463621671e-10,5.305481776129995e-10
102,5.232382171982408e-10,4.908582290630292e-10
103,4.842377138158938e-10,4.697950833909559e-10
104,4.5954910210532774e-10,4.285942878379245e-10
105,4.336058390119746e-10,4.217291071917373e-10
106,4.245984172590589e-10,4.998636671249557e-10
107,4.810790027454103e-10,4.674486270284106e-10
108,5.374938344404612e-10,5.420015491974795e-10
109,5.157605750816252e-10,5.087789467506098e-10
110,5.43040714062748e-10,5.440096650932702e-10
111,6.04188029051933e-10,5.785914136691162e-10
112,5.957878151940932e-10,6.228290716503437e-10
